_H:	|batch	|epoch	$train_mode	|trial	|tick	$trial_name	$obj	$rot	$output_name	%minus_cycles	%sse	%norm_err	%cos_err	%cos_err_prv	%cos_err_vs_prv	%V1h_cos_err	%V1h_cos_err_prv	%V1h_cos_err_vs_prv	%V2h_cos_err	%V2h_cos_err_prv	%V2h_cos_err_vs_prv	%Output_act_m	%ext_rew
_D:	0	1	"TRAIN"	12	12	"4_S+T+"	"01"	"144"	""	50	39.531	0.0442708	0.571829	0.421278	0.150551	0.571829	0.421278	0.150551	0	0	0	0.852631	0
_D:	0	1	"TRAIN"	13	13	"4_S+T+"	"01"	"156"	""	50	36.8363	0.0338542	0.593528	0.472044	0.121485	0.593528	0.472044	0.121485	0	0	0	0.864688	0
_D:	0	1	"TRAIN"	14	14	"4_S+T+"	"01"	"168"	""	50	31.9329	0.0338542	0.675727	0.368956	0.306771	0.675727	0.368956	0.306771	0	0	0	0.881501	0
_D:	0	1	"TRAIN"	15	15	"4_S+T+"	"01"	"180"	""	50	41.7451	0.0429688	0.576639	0.294391	0.282249	0.576639	0.294391	0.282249	0	0	0	0.879049	0
_D:	0	1	"TRAIN"	16	16	"4_S+T+"	"01"	"192"	""	50	46.4117	0.0434028	0.530062	0.389757	0.140306	0.530062	0.389757	0.140306	0	0	0	0.879829	0
_D:	0	1	"TRAIN"	17	17	"4_S+T+"	"01"	"204"	""	50	42.8012	0.0355903	0.550445	0.473124	0.0773206	0.550445	0.473124	0.0773206	0	0	0	0.871304	0
_D:	0	1	"TRAIN"	18	18	"4_S+T+"	"01"	"216"	""	50	42.0824	0.0399306	0.563843	0.497818	0.0660249	0.563843	0.497818	0.0660249	0	0	0	0.884935	0
_D:	0	1	"TRAIN"	19	19	"4_S+T+"	"01"	"228"	""	50	44.3028	0.047309	0.577269	0.514837	0.0624321	0.577269	0.514837	0.0624321	0	0	0	0.888344	0
_D:	0	1	"TRAIN"	20	20	"4_S+T+"	"01"	"240"	""	50	35.8424	0.0421007	0.642252	0.543485	0.098767	0.642252	0.543485	0.098767	0	0	0	0.878788	0
_D:	0	1	"TRAIN"	21	21	"4_S+T+"	"01"	"252"	""	50	33.972	0.0321181	0.648104	0.544987	0.103116	0.648104	0.544987	0.103116	0	0	0	0.848473	0
_D:	0	1	"TRAIN"	22	22	"4_S+T+"	"01"	"264"	""	50	27.5233	0.0342882	0.729571	0.519413	0.210158	0.729571	0.519413	0.210158	0	0	0	0.850183	0
_D:	0	1	"TRAIN"	23	23	"4_S+T+"	"01"	"276"	""	50	27.8141	0.0295139	0.728648	0.494276	0.234372	0.728648	0.494276	0.234372	0	0	0	0.8633	0
_D:	0	1	"TRAIN"	24	24	"4_S+T+"	"01"	"288"	""	50	40.4476	0.0377604	0.603012	0.454686	0.148326	0.603012	0.454686	0.148326	0	0	0	0.885558	0
_D:	0	1	"TRAIN"	25	25	"4_S+T+"	"01"	"300"	""	50	42.4913	0.0451389	0.566042	0.371969	0.194073	0.566042	0.371969	0.194073	0	0	0	0.87418	0
_D:	0	1	"TRAIN"	26	26	"4_S+T+"	"01"	"312"	""	50	37.4694	0.0364583	0.562933	0.471879	0.0910536	0.562933	0.471879	0.0910536	0	0	0	0.817475	0
_D:	0	1	"TRAIN"	27	27	"4_S+T+"	"01"	"324"	""	50	32.2414	0.0368924	0.638787	0.445884	0.192903	0.638787	0.445884	0.192903	0	0	0	0.82478	0
_D:	0	1	"TRAIN"	28	28	"4_S+T+"	"01"	"336"	""	50	33.3299	0.0329861	0.621424	0.522788	0.0986357	0.621424	0.522788	0.0986357	0	0	0	0.840845	0
_D:	0	1	"TRAIN"	29	29	"4_S+T+"	"01"	"348"	""	50	30.0136	0.0277778	0.683143	0.325438	0.357705	0.683143	0.325438	0.357705	0	0	0	0.882925	0
_D:	0	1	"TRAIN"	30	30	"4_S+T+"	"01"	"000"	""	50	33.7513	0.0325521	0.631999	0.350769	0.281231	0.631999	0.350769	0.281231	0	0	0	0.877001	0
_D:	0	2	"TRAIN"	1	1	"4_S+T+"	"03"	"012"	""	50	0	0	0	0	0	0.631999	0.350769	0.281231	0	0	0	0.554381	0
_D:	0	2	"TRAIN"	2	2	"4_S+T+"	"03"	"024"	""	50	70.4528	0.0672743	0.312047	0.18444	0.127607	0.312047	0.18444	0.127607	0	0	0	0.741198	0
_D:	0	2	"TRAIN"	3	3	"4_S+T+"	"03"	"036"	""	50	76.2739	0.0711806	0.349717	0.536225	-0.186508	0.349717	0.536225	-0.186508	0	0	0	0.73963	0
_D:	0	2	"TRAIN"	4	4	"4_S+T+"	"03"	"048"	""	50	72.5602	0.0681424	0.363953	0.614367	-0.250413	0.363953	0.614367	-0.250413	0	0	0	0.726618	0
_D:	0	2	"TRAIN"	5	5	"4_S+T+"	"03"	"060"	""	50	70.1198	0.0633681	0.400062	0.533082	-0.13302	0.400062	0.533082	-0.13302	0	0	0	0.747654	0
_D:	0	2	"TRAIN"	6	6	"4_S+T+"	"03"	"072"	""	50	65.8325	0.0607639	0.409322	0.542407	-0.133085	0.409322	0.542407	-0.133085	0	0	0	0.765149	0
_D:	0	2	"TRAIN"	7	7	"4_S+T+"	"03"	"084"	""	50	66.6658	0.0594618	0.39301	0.53827	-0.14526	0.39301	0.53827	-0.14526	0	0	0	0.763934	0
_D:	0	2	"TRAIN"	8	8	"4_S+T+"	"03"	"096"	""	50	68.6629	0.0520833	0.338868	0.530652	-0.191783	0.338868	0.530652	-0.191783	0	0	0	0.762489	0
_D:	0	2	"TRAIN"	9	9	"4_S+T+"	"03"	"108"	""	50	52.5729	0.0425347	0.405476	0.488921	-0.0834447	0.405476	0.488921	-0.0834447	0	0	0	0.769593	0
_D:	0	2	"TRAIN"	10	10	"4_S+T+"	"03"	"120"	""	50	37.4317	0.0373264	0.528117	0.463478	0.0646394	0.528117	0.463478	0.0646394	0	0	0	0.769577	0
_D:	0	2	"TRAIN"	11	11	"4_S+T+"	"03"	"132"	""	50	32.6865	0.0342882	0.56259	0.483814	0.0787755	0.56259	0.483814	0.0787755	0	0	0	0.770597	0
_D:	0	2	"TRAIN"	12	12	"4_S+T+"	"03"	"144"	""	50	38.1657	0.0368924	0.522876	0.422568	0.100308	0.522876	0.422568	0.100308	0	0	0	0.777749	0
_D:	0	2	"TRAIN"	13	13	"4_S+T+"	"03"	"156"	""	50	38.7224	0.0407986	0.60905	0.432536	0.176513	0.60905	0.432536	0.176513	0	0	0	0.836176	0
_D:	0	2	"TRAIN"	14	14	"4_S+T+"	"03"	"168"	""	50	35.4262	0.0381944	0.596524	0.621974	-0.0254495	0.596524	0.621974	-0.0254495	0	0	0	0.832235	0
_D:	0	2	"TRAIN"	15	15	"4_S+T+"	"03"	"180"	""	50	43.7509	0.0434028	0.526366	0.414328	0.112038	0.526366	0.414328	0.112038	0	0	0	0.837107	0
_D:	0	2	"TRAIN"	16	16	"4_S+T+"	"03"	"192"	""	50	47.1978	0.0360243	0.48294	0.374305	0.108635	0.48294	0.374305	0.108635	0	0	0	0.838012	0
_D:	0	2	"TRAIN"	17	17	"4_S+T+"	"03"	"204"	""	50	45.6435	0.0386285	0.497843	0.456463	0.0413796	0.497843	0.456463	0.0413796	0	0	0	0.832631	0
